#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BDFD41
#Date Time: 2026-05-11 14:29:30.165.662.830
#Sample rate: 63979.5Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 114.6 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: -520 mV Sample Mode: Average

Time (s),Channel 1 (V)
-0.2360912979306033,0.7530590090614209
-0.2360756679306033,0.7539615537666584
-0.2360600379306033,0.7539615537666584
-0.2360444079306033,0.7539615537666584
-0.2360287779306033,0.7539615537666584
-0.2360131479306033,0.7548640984718943
-0.2359975179306033,0.7548640984718976
-0.2359818879306033,0.7557666431771335
-0.2359662579306033,0.754864098471896
-0.2359506279306033,0.7557666431771318
-0.2359349979306033,0.7557666431771335
-0.2359193679306033,0.7557666431771335
-0.2359037379306033,0.7557666431771335
-0.2358881079306033,0.754864098471896
-0.2358724779306033,0.754864098471896
-0.2358568479306033,0.756669187882371
-0.2358412179306033,0.7566691878823727
-0.2358255879306033,0.7575717325876083
-0.2358099579306033,0.7584742772928459
-0.2357943279306033,0.75757173258761
-0.2357786979306033,0.7575717325876117
-0.2357630679306033,0.7593768219980834
-0.2357474379306033,0.7593768219980834
-0.2357318079306033,0.7611819114085585
-0.2357161779306033,0.7602793667033226
-0.2357005479306033,0.7620844561137975
-0.2356849179306033,0.7629870008190334
-0.2356692879306033,0.7629870008190334
-0.2356536579306033,0.7629870008190334
-0.2356380279306033,0.7629870008190334
-0.2356223979306033,0.7638895455242726
-0.2356067679306033,0.7647920902295084
-0.2355911379306033,0.765694634934746
-0.2355755079306033,0.7647920902295084
-0.2355598779306033,0.767499724345216
-0.2355442479306033,0.7665971796399835
-0.2355286179306033,0.7665971796399835
-0.2355129879306033,0.7665971796399835
-0.2354973579306033,0.7674997243452208
-0.2354817279306033,0.7693048137556926
-0.2354660979306033,0.7674997243452257
-0.2354504679306033,0.7702073584609335
-0.2354348379306033,0.7693048137556959
-0.2354192079306033,0.7702073584609335
-0.2354035779306033,0.7702073584609335
-0.2353879479306033,0.7702073584609351
-0.2353723179306033,0.771109903166171
-0.2353566879306033,0.7702073584609335
-0.2353410579306033,0.771109903166171
-0.2353254279306033,0.771109903166171
-0.2353097979306033,0.7702073584609351
-0.2352941679306033,0.771109903166171
-0.2352785379306033,0.771109903166171
-0.2352629079306033,0.7693048137556959
-0.2352472779306033,0.7684022690504601
-0.2352316479306033,0.7674997243452175
-0.2352160179306033,0.765694634934746
-0.2352003879306033,0.7665971796399835
-0.2351847579306033,0.7674997243452192
-0.2351691279306033,0.7656946349347493
-0.2351534979306033,0.7665971796399852
-0.2351378679306033,0.7674997243452208
-0.2351222379306033,0.7684022690504584
