SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon May 04 08:32:53 CEST 2026
User: danie
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: QEB0413
Integration Time (usec): 1000000 (QEB0413)
Spectra Averaged: 1 (QEB0413)
Boxcar Smoothing: 0 (QEB0413)
Correct for Electrical Dark: No (QEB0413)
Strobe/Lamp Enabled: No (QEB0413)
Correct for Detector Non-linearity: No (QEB0413)
Correct for Stray Light: No (QEB0413)
Number of Pixels in Processed Spectrum: 1044
>>>>>Begin Processed Spectral Data<<<<<
199,28	2501,00
200,08	2498,00
200,88	2502,00
201,68	2502,00
202,48	2499,00
203,28	2497,00
204,08	2499,00
204,88	2499,00
205,68	2499,00
206,48	2498,00
207,28	2500,00
208,08	2499,00
208,88	2499,00
209,68	2498,00
210,48	2502,00
211,28	2502,00
212,08	2500,00
212,88	2501,00
213,68	2498,00
214,48	2507,00
215,28	2499,00
216,08	2500,00
216,88	2501,00
217,68	2498,00
218,48	2499,00
219,28	2498,00
220,08	2500,00
220,88	2500,00
221,68	2501,00
222,48	2500,00
223,27	2500,00
224,07	2502,00
224,87	2501,00
225,67	2501,00
226,47	2502,00
227,27	2500,00
228,07	2500,00
228,87	2500,00
229,67	2501,00
230,46	2500,00
231,26	2500,00
232,06	2499,00
232,86	2500,00
233,66	2502,00
234,46	2502,00
235,25	2501,00
236,05	2500,00
236,85	2501,00
237,65	2498,00
238,45	2503,00
239,24	2500,00
240,04	2501,00
240,84	2498,00
241,64	2499,00
242,44	2502,00
243,23	2501,00
244,03	2498,00
244,83	2500,00
245,63	2501,00
246,42	2502,00
247,22	2499,00
248,02	2500,00
248,82	2501,00
249,61	2501,00
250,41	2504,00
251,21	2499,00
252,01	2498,00
252,80	2499,00
253,60	2501,00
254,40	2502,00
255,19	2502,00
255,99	2501,00
256,79	2501,00
257,58	2500,00
258,38	2498,00
259,18	2500,00
259,97	2502,00
260,77	2500,00
261,57	2502,00
262,36	2499,00
263,16	2499,00
263,96	2502,00
264,75	2499,00
265,55	2501,00
266,34	2502,00
267,14	2498,00
267,94	2503,00
268,73	2501,00
269,53	2498,00
270,33	2499,00
271,12	2499,00
271,92	2503,00
272,71	2499,00
273,51	2498,00
274,30	2504,00
275,10	2500,00
275,90	2498,00
276,69	2502,00
277,49	2500,00
278,28	2502,00
279,08	2500,00
279,87	2502,00
280,67	2501,00
281,46	2503,00
282,26	2503,00
283,05	2502,00
283,85	2501,00
284,64	2501,00
285,44	2502,00
286,23	2502,00
287,03	2502,00
287,82	2501,00
288,62	2501,00
289,41	2502,00
290,21	2502,00
291,00	2499,00
291,79	2501,00
292,59	2503,00
293,38	2500,00
294,18	2499,00
294,97	2500,00
295,77	2502,00
296,56	2502,00
297,35	2498,00
298,15	2500,00
298,94	2504,00
299,74	2501,00
300,53	2504,00
301,32	2500,00
302,12	2499,00
302,91	2503,00
303,70	2499,00
304,50	2503,00
305,29	2499,00
306,09	2498,00
306,88	2502,00
307,67	2500,00
308,47	2501,00
309,26	2501,00
310,05	2500,00
310,84	2498,00
311,64	2500,00
312,43	2504,00
313,22	2503,00
314,02	2501,00
314,81	2499,00
315,60	2501,00
316,39	2499,00
317,19	2504,00
317,98	2501,00
318,77	2502,00
319,57	2500,00
320,36	2501,00
321,15	2500,00
321,94	2500,00
322,73	2501,00
323,53	2505,00
324,32	2503,00
325,11	2501,00
325,90	2503,00
326,69	2501,00
327,49	2501,00
328,28	2501,00
329,07	2501,00
329,86	2501,00
330,65	2499,00
331,45	2499,00
332,24	2503,00
333,03	2501,00
333,82	2499,00
334,61	2500,00
335,40	2501,00
336,19	2498,00
336,98	2500,00
337,78	2501,00
338,57	2500,00
339,36	2500,00
340,15	2500,00
340,94	2501,00
341,73	2503,00
342,52	2500,00
343,31	2501,00
344,10	2501,00
344,89	2501,00
345,68	2500,00
346,47	2499,00
347,27	2501,00
348,06	2503,00
348,85	2501,00
349,64	2501,00
350,43	2500,00
351,22	2500,00
352,01	2502,00
352,80	2501,00
353,59	2501,00
354,38	2499,00
355,17	2502,00
355,96	2502,00
356,75	2500,00
357,54	2498,00
358,33	2501,00
359,11	2501,00
359,90	2501,00
360,69	2497,00
361,48	2502,00
362,27	2503,00
363,06	2501,00
363,85	2503,00
364,64	2501,00
365,43	2501,00
366,22	2502,00
367,01	2502,00
367,80	2502,00
368,58	2501,00
369,37	2501,00
370,16	2500,00
370,95	2500,00
371,74	2501,00
372,53	2504,00
373,32	2502,00
374,10	2499,00
374,89	2503,00
375,68	2500,00
376,47	2503,00
377,26	2503,00
378,05	2499,00
378,83	2503,00
379,62	2503,00
380,41	2502,00
381,20	2499,00
381,99	2501,00
382,77	2503,00
383,56	2502,00
384,35	2500,00
385,14	2500,00
385,92	2500,00
386,71	2501,00
387,50	2501,00
388,29	2499,00
389,07	2501,00
389,86	2501,00
390,65	2502,00
391,43	2501,00
392,22	2500,00
393,01	2502,00
393,80	2501,00
394,58	2501,00
395,37	2502,00
396,16	2500,00
396,94	2504,00
397,73	2503,00
398,51	2500,00
399,30	2501,00
400,09	2506,00
400,87	2499,00
401,66	2502,00
402,45	2501,00
403,23	2504,00
404,02	2502,00
404,80	2501,00
405,59	2502,00
406,38	2501,00
407,16	2501,00
407,95	2501,00
408,73	2502,00
409,52	2503,00
410,30	2501,00
411,09	2502,00
411,88	2503,00
412,66	2502,00
413,45	2503,00
414,23	2501,00
415,02	2500,00
415,80	2503,00
416,59	2502,00
417,37	2506,00
418,16	2502,00
418,94	2502,00
419,73	2502,00
420,51	2501,00
421,30	2502,00
422,08	2500,00
422,86	2501,00
423,65	2502,00
424,43	2502,00
425,22	2502,00
426,00	2501,00
426,79	2501,00
427,57	2503,00
428,35	2502,00
429,14	2505,00
429,92	2503,00
430,71	2504,00
431,49	2503,00
432,27	2505,00
433,06	2504,00
433,84	2503,00
434,62	2503,00
435,41	2505,00
436,19	2503,00
436,98	2503,00
437,76	2506,00
438,54	2503,00
439,32	2502,00
440,11	2502,00
440,89	2503,00
441,67	2503,00
442,46	2503,00
443,24	2502,00
444,02	2502,00
444,81	2506,00
445,59	2502,00
446,37	2502,00
447,15	2502,00
447,94	2506,00
448,72	2504,00
449,50	2504,00
450,28	2504,00
451,06	2504,00
451,85	2504,00
452,63	2506,00
453,41	2504,00
454,19	2505,00
454,97	2505,00
455,76	2505,00
456,54	2507,00
457,32	2503,00
458,10	2505,00
458,88	2503,00
459,66	2506,00
460,45	2506,00
461,23	2508,00
462,01	2505,00
462,79	2504,00
463,57	2504,00
464,35	2505,00
465,13	2505,00
465,91	2508,00
466,69	2504,00
467,48	2507,00
468,26	2507,00
469,04	2506,00
469,82	2507,00
470,60	2507,00
471,38	2507,00
472,16	2507,00
472,94	2507,00
473,72	2504,00
474,50	2508,00
475,28	2509,00
476,06	2508,00
476,84	2508,00
477,62	2507,00
478,40	2506,00
479,18	2507,00
479,96	2507,00
480,74	2506,00
481,52	2505,00
482,30	2512,00
483,08	2508,00
483,86	2508,00
484,64	2509,00
485,41	2511,00
486,19	2507,00
486,97	2509,00
487,75	2511,00
488,53	2513,00
489,31	2510,00
490,09	2511,00
490,87	2512,00
491,65	2510,00
492,42	2512,00
493,20	2510,00
493,98	2507,00
494,76	2511,00
495,54	2510,00
496,32	2512,00
497,09	2512,00
497,87	2512,00
498,65	2513,00
499,43	2510,00
500,21	2513,00
500,98	2511,00
501,76	2511,00
502,54	2519,00
503,32	2513,00
504,09	2512,00
504,87	2516,00
505,65	2519,00
506,43	2512,00
507,20	2518,00
507,98	2515,00
508,76	2519,00
509,54	2514,00
510,31	2518,00
511,09	2518,00
511,87	2517,00
512,64	2520,00
513,42	2519,00
514,20	2517,00
514,97	2519,00
515,75	2519,00
516,53	2518,00
517,30	2522,00
518,08	2520,00
518,86	2521,00
519,63	2521,00
520,41	2516,00
521,18	2519,00
521,96	2524,00
522,74	2522,00
523,51	2522,00
524,29	2519,00
525,06	2525,00
525,84	2521,00
526,61	2519,00
527,39	2520,00
528,16	2520,00
528,94	2521,00
529,72	2524,00
530,49	2526,00
531,27	2521,00
532,04	2518,00
532,82	2525,00
533,59	2521,00
534,36	2523,00
535,14	2525,00
535,91	2522,00
536,69	2523,00
537,46	2521,00
538,24	2528,00
539,01	2523,00
539,79	2527,00
540,56	2527,00
541,33	2524,00
542,11	2525,00
542,88	2524,00
543,66	2527,00
544,43	2532,00
545,20	2526,00
545,98	2527,00
546,75	2526,00
547,53	2529,00
548,30	2528,00
549,07	2528,00
549,85	2528,00
550,62	2529,00
551,39	2527,00
552,17	2528,00
552,94	2532,00
553,71	2534,00
554,48	2532,00
555,26	2531,00
556,03	2532,00
556,80	2538,00
557,58	2532,00
558,35	2537,00
559,12	2536,00
559,89	2536,00
560,67	2540,00
561,44	2538,00
562,21	2539,00
562,98	2550,00
563,75	2538,00
564,53	2539,00
565,30	2537,00
566,07	2538,00
566,84	2535,00
567,61	2537,00
568,38	2540,00
569,16	2536,00
569,93	2536,00
570,70	2541,00
571,47	2540,00
572,24	2542,00
573,01	2536,00
573,78	2540,00
574,55	2541,00
575,33	2535,00
576,10	2543,00
576,87	2537,00
577,64	2543,00
578,41	2541,00
579,18	2543,00
579,95	2542,00
580,72	2544,00
581,49	2547,00
582,26	2548,00
583,03	2555,00
583,80	2550,00
584,57	2558,00
585,34	2564,00
586,11	2567,00
586,88	2574,00
587,65	2576,00
588,42	2588,00
589,19	2595,00
589,96	2602,00
590,73	2617,00
591,50	2629,00
592,27	2649,00
593,04	2658,00
593,81	2678,00
594,57	2693,00
595,34	2718,00
596,11	2739,00
596,88	2760,00
597,65	2792,00
598,42	2820,00
599,19	2851,00
599,96	2882,00
600,72	2905,00
601,49	2942,00
602,26	2984,00
603,03	3026,00
603,80	3058,00
604,56	3087,00
605,33	3135,00
606,10	3183,00
606,87	3224,00
607,64	3269,00
608,40	3303,00
609,17	3350,00
609,94	3394,00
610,71	3432,00
611,47	3488,00
612,24	3536,00
613,01	3582,00
613,78	3616,00
614,54	3662,00
615,31	3699,00
616,08	3745,00
616,84	3790,00
617,61	3819,00
618,38	3871,00
619,14	3918,00
619,91	3958,00
620,68	3979,00
621,44	4036,00
622,21	4068,00
622,98	4135,00
623,74	4164,00
624,51	4175,00
625,27	4230,00
626,04	4267,00
626,80	4310,00
627,57	4345,00
628,34	4372,00
629,10	4421,00
629,87	4471,00
630,63	4499,00
631,40	4528,00
632,16	4573,00
632,93	4615,00
633,69	4665,00
634,46	4669,00
635,22	4715,00
635,99	4740,00
636,75	4793,00
637,52	4842,00
638,28	4864,00
639,05	4881,00
639,81	4921,00
640,58	4969,00
641,34	4985,00
642,10	5016,00
642,87	5072,00
643,63	5095,00
644,40	5111,00
645,16	5151,00
645,92	5181,00
646,69	5202,00
647,45	5232,00
648,22	5258,00
648,98	5309,00
649,74	5341,00
650,51	5326,00
651,27	5385,00
652,03	5409,00
652,80	5412,00
653,56	5440,00
654,32	5470,00
655,08	5502,00
655,85	5516,00
656,61	5524,00
657,37	5542,00
658,14	5576,00
658,90	5589,00
659,66	5616,00
660,42	5659,00
661,18	5654,00
661,95	5695,00
662,71	5689,00
663,47	5715,00
664,23	5717,00
664,99	5730,00
665,76	5784,00
666,52	5797,00
667,28	5784,00
668,04	5825,00
668,80	5843,00
669,56	5872,00
670,33	5879,00
671,09	5914,00
671,85	5933,00
672,61	5972,00
673,37	5939,00
674,13	5982,00
674,89	5998,00
675,65	6009,00
676,41	6014,00
677,17	6025,00
677,93	6066,00
678,69	6070,00
679,45	6111,00
680,21	6106,00
680,97	6111,00
681,73	6132,00
682,49	6173,00
683,25	6148,00
684,01	6185,00
684,77	6179,00
685,53	6182,00
686,29	6216,00
687,05	6212,00
687,81	6221,00
688,57	6264,00
689,33	6273,00
690,09	6268,00
690,85	6292,00
691,61	6267,00
692,37	6288,00
693,13	6295,00
693,88	6263,00
694,64	6294,00
695,40	6289,00
696,16	6316,00
696,92	6301,00
697,68	6316,00
698,43	6278,00
699,19	6278,00
699,95	6314,00
700,71	6275,00
701,47	6245,00
702,22	6254,00
702,98	6261,00
703,74	6244,00
704,50	6213,00
705,26	6228,00
706,01	6203,00
706,77	6184,00
707,53	6147,00
708,28	6144,00
709,04	6122,00
709,80	6101,00
710,56	6104,00
711,31	6085,00
712,07	6033,00
712,83	5993,00
713,58	5979,00
714,34	5963,00
715,09	5959,00
715,85	5890,00
716,61	5870,00
717,36	5828,00
718,12	5776,00
718,88	5757,00
719,63	5681,00
720,39	5649,00
721,14	5624,00
721,90	5591,00
722,65	5507,00
723,41	5479,00
724,16	5461,00
724,92	5428,00
725,68	5384,00
726,43	5319,00
727,19	5288,00
727,94	5276,00
728,70	5249,00
729,45	5189,00
730,20	5143,00
730,96	5106,00
731,71	5083,00
732,47	5039,00
733,22	4961,00
733,98	4923,00
734,73	4886,00
735,49	4852,00
736,24	4829,00
736,99	4756,00
737,75	4704,00
738,50	4686,00
739,25	4671,00
740,01	4625,00
740,76	4590,00
741,51	4533,00
742,27	4503,00
743,02	4486,00
743,77	4460,00
744,53	4428,00
745,28	4392,00
746,03	4350,00
746,79	4347,00
747,54	4320,00
748,29	4294,00
749,04	4270,00
749,80	4241,00
750,55	4209,00
751,30	4202,00
752,05	4199,00
752,81	4156,00
753,56	4122,00
754,31	4104,00
755,06	4110,00
755,81	4100,00
756,56	4083,00
757,32	4071,00
758,07	4039,00
758,82	4041,00
759,57	4053,00
760,32	4075,00
761,07	4070,00
761,82	4041,00
762,58	4034,00
763,33	4041,00
764,08	4042,00
764,83	4072,00
765,58	4071,00
766,33	4057,00
767,08	4046,00
767,83	4061,00
768,58	4082,00
769,33	4100,00
770,08	4096,00
770,83	4069,00
771,58	4091,00
772,33	4121,00
773,08	4148,00
773,83	4167,00
774,58	4172,00
775,33	4139,00
776,08	4153,00
776,83	4217,00
777,58	4214,00
778,33	4218,00
779,07	4226,00
779,82	4206,00
780,57	4229,00
781,32	4275,00
782,07	4292,00
782,82	4280,00
783,57	4263,00
784,31	4255,00
785,06	4302,00
785,81	4345,00
786,56	4365,00
787,31	4347,00
788,06	4316,00
788,80	4306,00
789,55	4341,00
790,30	4404,00
791,05	4404,00
791,79	4361,00
792,54	4307,00
793,29	4333,00
794,04	4388,00
794,78	4428,00
795,53	4423,00
796,28	4362,00
797,02	4329,00
797,77	4344,00
798,52	4387,00
799,26	4442,00
800,01	4424,00
800,76	4355,00
801,50	4311,00
802,25	4323,00
803,00	4383,00
803,74	4418,00
804,49	4404,00
805,23	4312,00
805,98	4250,00
806,73	4294,00
807,47	4357,00
808,22	4402,00
808,96	4327,00
809,71	4241,00
810,45	4208,00
811,20	4235,00
811,94	4295,00
812,69	4328,00
813,43	4291,00
814,18	4202,00
814,92	4161,00
815,67	4177,00
816,41	4206,00
817,16	4218,00
817,90	4208,00
818,64	4156,00
819,39	4105,00
820,13	4073,00
820,88	4081,00
821,62	4107,00
822,36	4093,00
823,11	4099,00
823,85	4042,00
824,60	3998,00
825,34	3995,00
826,08	3971,00
826,83	3982,00
827,57	3972,00
828,31	3956,00
829,05	3907,00
829,80	3849,00
830,54	3862,00
831,28	3866,00
832,03	3870,00
832,77	3864,00
833,51	3791,00
834,25	3755,00
834,99	3734,00
835,74	3747,00
836,48	3762,00
837,22	3753,00
837,96	3716,00
838,70	3686,00
839,45	3646,00
840,19	3627,00
840,93	3637,00
841,67	3629,00
842,41	3638,00
843,15	3637,00
843,89	3590,00
844,64	3556,00
845,38	3522,00
846,12	3526,00
846,86	3545,00
847,60	3541,00
848,34	3530,00
849,08	3504,00
849,82	3428,00
850,56	3423,00
851,30	3432,00
852,04	3465,00
852,78	3471,00
853,52	3469,00
854,26	3423,00
855,00	3378,00
855,74	3343,00
856,48	3347,00
857,22	3363,00
857,96	3401,00
858,70	3412,00
859,44	3378,00
860,17	3322,00
860,91	3290,00
861,65	3277,00
862,39	3307,00
863,13	3349,00
863,87	3346,00
864,61	3322,00
865,35	3288,00
866,08	3249,00
866,82	3240,00
867,56	3274,00
868,30	3297,00
869,04	3298,00
869,77	3281,00
870,51	3233,00
871,25	3201,00
871,99	3216,00
