t_s,R_raw,R,spo2,bpm,spo2_note,bpm_note
18.990622602000258,1.500411438380653,,,50.050110796554016,SpO2 uden for gyldigt område,ok
19.224226584999997,1.4948546654255597,,,50.213781156170235,SpO2 uden for gyldigt område,ok
19.475835952000125,1.4935820163677702,,,50.050110796554016,SpO2 uden for gyldigt område,ok
19.73015146399939,1.4978178626291416,,,50.213781156170235,SpO2 uden for gyldigt område,ok
19.962392192000152,1.5068070238403741,,,50.213781156170235,SpO2 uden for gyldigt område,ok
20.196594954999455,1.5028658992940798,,,50.39253337359607,SpO2 uden for gyldigt område,ok
20.450389740999526,1.5177460124743567,,,50.39253337359607,SpO2 uden for gyldigt område,ok
20.685619294999924,1.5195176757166589,,,50.57256279045249,SpO2 uden for gyldigt område,ok
20.916079044999606,1.5213947227764446,,,50.671135216703284,SpO2 uden for gyldigt område,ok
21.175370304999888,1.5541532765857484,1.5541532765857484,99.71820801131244,50.39253337359607,ok,ok
21.405617825999798,1.5059501390473544,,,50.213781156170235,SpO2 uden for gyldigt område,ok
21.663668370999403,1.5171739728746114,,,50.39253337359607,SpO2 uden for gyldigt område,ok
21.89169836400015,1.509643551168091,,,50.213781156170235,SpO2 uden for gyldigt område,ok
22.12583506699957,1.512520933802676,,,50.213781156170235,SpO2 uden for gyldigt område,ok
22.379839931999413,1.4950904222094394,,,50.0943586314309,SpO2 uden for gyldigt område,ok
22.63841105099982,1.5388163800844572,,,50.0943586314309,SpO2 uden for gyldigt område,ok
22.895264668999516,1.517105698110139,,,50.0943586314309,SpO2 uden for gyldigt område,ok
23.136154736999742,1.5080090698905466,,,50.213781156170235,SpO2 uden for gyldigt område,ok
23.38895321200016,1.5083832712081073,,,50.213781156170235,SpO2 uden for gyldigt område,ok
23.646461569000166,1.508873531306436,,,50.0943586314309,SpO2 uden for gyldigt område,ok
23.879195075000098,1.5347272580177487,,,50.0943586314309,SpO2 uden for gyldigt område,ok
24.119377825999436,1.5368411030041162,,,50.0943586314309,SpO2 uden for gyldigt område,ok
24.354999389999648,1.5280426058337984,,,50.0943586314309,SpO2 uden for gyldigt område,ok
24.618856054999924,1.5180606850663263,,,50.0943586314309,SpO2 uden for gyldigt område,ok
24.851854530999844,1.51746110139966,,,49.97550279978369,SpO2 uden for gyldigt område,ok
25.09253769099996,1.5185411408004528,,,49.97550279978369,SpO2 uden for gyldigt område,ok
25.348339873999976,1.5090278891927995,,,49.97550279978369,SpO2 uden for gyldigt område,ok
25.603899425000236,1.5108463434406831,,,49.97550279978369,SpO2 uden for gyldigt område,ok
25.836295721999704,1.5147610964443217,,,49.97550279978369,SpO2 uden for gyldigt område,ok
26.09367569799997,1.508214003169154,,,49.93146459180735,SpO2 uden for gyldigt område,ok
26.327672985999925,1.5099854526004581,,,49.93146459180735,SpO2 uden for gyldigt område,ok
26.588191588999507,1.5134757736835673,,,49.93146459180735,SpO2 uden for gyldigt område,ok
26.823115954999594,1.5109579000802353,,,49.93146459180735,SpO2 uden for gyldigt område,ok
27.0819607049998,1.5152082793401707,,,49.97550279978369,SpO2 uden for gyldigt område,ok
27.333928864999507,1.5429188889242562,1.5429188889242562,99.99760723245376,49.97550279978369,ok,ok
27.572547032999864,1.5091811871538092,,,49.97550279978369,SpO2 uden for gyldigt område,ok
27.831668226000147,1.5113465430178006,,,49.97550279978369,SpO2 uden for gyldigt område,ok
28.096106758000133,1.5063615962145476,,,49.97550279978369,SpO2 uden for gyldigt område,ok
28.34547651199955,1.5303767614903645,,,49.93146459180735,SpO2 uden for gyldigt område,ok
28.608647174999533,1.5174739366420464,,,49.93146459180735,SpO2 uden for gyldigt område,ok
28.86787569399985,1.5046282657445602,,,49.93146459180735,SpO2 uden for gyldigt område,ok
29.125549659999706,1.5039410951498133,,,49.93146459180735,SpO2 uden for gyldigt område,ok
29.35800295199988,1.5316190413781021,,,49.97550279978369,SpO2 uden for gyldigt område,ok
29.61889515599978,1.503257479053481,,,49.97550279978369,SpO2 uden for gyldigt område,ok
29.85371006599962,1.4801589959869992,,,49.97550279978369,SpO2 uden for gyldigt område,ok
30.092261085000246,1.504751899952424,,,49.97550279978369,SpO2 uden for gyldigt område,ok
30.34809006100022,1.494984958470192,,,50.0943586314309,SpO2 uden for gyldigt område,ok
30.607158283999524,1.4807966194435018,,,50.0943586314309,SpO2 uden for gyldigt område,ok
30.839435594999486,1.506801014831609,,,50.0943586314309,SpO2 uden for gyldigt område,ok
31.09718087999954,1.502769953187129,,,50.0943586314309,SpO2 uden for gyldigt område,ok
31.351197227999364,1.5049718685271825,,,50.0943586314309,SpO2 uden for gyldigt område,ok
31.606381357999453,1.5194844569824317,,,49.97550279978369,SpO2 uden for gyldigt område,ok
31.839487657999598,1.5016621263773504,,,49.97550279978369,SpO2 uden for gyldigt område,ok
32.07902225199996,1.4868659531672674,,,49.97550279978369,SpO2 uden for gyldigt område,ok
32.331358532000195,1.5054006930815629,,,49.97550279978369,SpO2 uden for gyldigt område,ok
32.56766516799962,1.5195265093230783,,,49.97550279978369,SpO2 uden for gyldigt område,ok
32.827075723000235,1.4937280319081256,,,49.93146459180735,SpO2 uden for gyldigt område,ok
33.08725464199961,1.4762172568160425,,,49.93146459180735,SpO2 uden for gyldigt område,ok
33.321507490999466,1.4860514178377537,,,49.93146459180735,SpO2 uden for gyldigt område,ok
33.57913246499993,1.4857625669914176,,,49.93146459180735,SpO2 uden for gyldigt område,ok
33.83377704600025,1.4897600363346217,,,49.97550279978369,SpO2 uden for gyldigt område,ok
34.071579556999495,1.4989439447310096,,,49.97550279978369,SpO2 uden for gyldigt område,ok
34.305186135999975,1.4846172943807334,,,49.97550279978369,SpO2 uden for gyldigt område,ok
34.54604701700009,1.5031354992416728,,,49.97550279978369,SpO2 uden for gyldigt område,ok
34.802653895999356,1.4974279493243075,,,50.0943586314309,SpO2 uden for gyldigt område,ok
35.06265308699949,1.4985562547941436,,,50.0943586314309,SpO2 uden for gyldigt område,ok
35.31745304800006,1.501357977466272,,,50.0943586314309,SpO2 uden for gyldigt område,ok
35.55483062999974,1.5058597428909206,,,50.0943586314309,SpO2 uden for gyldigt område,ok
35.788365411000086,1.5007735929937205,,,50.0943586314309,SpO2 uden for gyldigt område,ok
36.05040277799981,1.5930167544838754,1.5930167544838754,98.75167331598603,50.0943586314309,ok,ok
36.30374441299955,1.6007656469104479,1.6007656469104479,98.55895836133716,49.97550279978369,ok,ok
36.56363670199971,1.5908038195340262,1.5930167544838754,98.75167331598603,49.93146459180735,ok,ok
36.81609944699994,1.6022892411137004,1.5968912006971616,98.6553158386616,49.93146459180735,ok,ok
37.05416288200013,1.608145521299747,1.6007656469104479,98.55895836133716,49.93146459180735,ok,ok
37.30718121799964,1.5793353639004815,1.5968912006971616,98.6553158386616,49.88750392807563,ok,ok
37.54502422299993,1.5904918341237029,1.5930167544838754,98.75167331598603,49.88750392807563,ok,ok
37.77846823500022,1.5863971913893442,1.5919102870089508,98.7791911620874,49.93146459180735,ok,ok
38.035368697000195,1.6197510618423205,1.5930167544838754,98.75167331598603,49.88750392807563,ok,ok
38.288832129000184,1.6514907471648654,1.5968912006971616,98.6553158386616,49.88750392807563,ok,ok
38.52407730699997,1.5803195896348903,1.5930167544838754,98.75167331598603,49.88750392807563,ok,ok
38.75667161399997,1.61668801421335,1.5968912006971616,98.6553158386616,49.88750392807563,ok,ok
39.01524515900019,1.6389206516953563,1.6007656469104479,98.55895836133716,49.87091878920256,ok,ok
39.247552343999814,1.631036068380497,1.6015274440120741,98.54001246741973,49.88750392807563,ok,ok
39.5058483189996,1.6565203581584889,1.6022892411137004,98.52106657350228,49.88750392807563,ok,ok
39.7376320100002,1.668845541649682,1.6052173812067236,98.44824372938879,49.93146459180735,ok,ok
40.00115037999967,1.65742356585333,1.608145521299747,98.37542088527529,49.88750392807563,ok,ok
40.23359129799974,1.6633550066112985,1.6124167677565486,98.26919498589464,49.93146459180735,ok,ok
40.492594000999816,1.6657042627106584,1.61668801421335,98.16296908651398,49.88750392807563,ok,ok
40.74619509199965,1.635732651778823,1.6182195380278352,98.12488008924774,49.87091878920256,ok,ok
40.98252063699965,1.6551901969265719,1.6197510618423205,98.0867910919815,49.87091878920256,ok,ok
41.213434190000044,1.6676530269595378,1.6253935651114086,97.94646203567928,49.88750392807563,ok,ok
41.44894669799942,1.6641548731996145,1.631036068380497,97.80613297937704,49.88750392807563,ok,ok
41.699342148999676,1.672424153906445,1.63338436007966,97.74773096481886,49.88750392807563,ok,ok
41.95801673299957,1.651163127983,1.635732651778823,97.68932895026067,49.85434467414885,ok,ok
