v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s
5.804528432964274,3.9697241482954317,-0.5917833294362546,6.396311762400528,4.561507477731686,0.573690354000064
5.824328007435421,3.9832482166129752,-0.5903322067773649,6.414660214212786,4.57358042339034,0.7415886409999075
5.8409940595080725,3.954904082190212,-0.5933204758873621,6.434314535395434,4.548224558077574,1.0476012949993674
5.782555700070047,3.9542003793653473,-0.6012938942676948,6.383849594337741,4.555494273633042,1.3097917420000158
5.784561041586995,3.961162665630593,-0.6065921137326591,6.391153155319654,4.567754779363252,1.5819061699994563
5.809670117331923,3.970117601377871,-0.6059109745254253,6.415581091857349,4.576028575903297,1.8277873199995156
5.829167903417257,3.97500262459497,-0.6113770108965199,6.440544914313778,4.58637963549149,2.0626833460000853
5.842859788640931,3.96703907779735,-0.6099653745684843,6.452825163209416,4.577004452365834,2.28869768200002
5.779841014823825,3.949697527421873,-0.6136333726596136,6.3934743874834385,4.563330900081486,2.5393535539997174
5.769405341669516,3.9409668176248025,-0.617617261397576,6.387022603067091,4.558584079022379,2.7661439550001887
5.790060923384537,3.958010810292772,-0.6132469707076837,6.403307894092221,4.5712577810004555,3.01837537099982
5.800262499005925,3.960748059156624,-0.6174014968039803,6.417663995809905,4.5781495559606045,3.2653893400001834
5.8068623571629745,3.938596227547451,-0.6169741982950944,6.4238365554580685,4.555570425842546,3.4960893779998514
5.726112810566256,3.9267418669345977,-0.6214770502385683,6.347589860804825,4.548218917173166,3.7233969799999613
5.717960293470978,3.926059317501262,-0.6194801700782303,6.337440463549208,4.545539487579492,3.9549424489996454
5.724907067249103,3.931381510809959,-0.6226306151899499,6.347537682439053,4.5540121259999085,4.183107686999392
5.726977279166742,3.9329680151746347,-0.627449357780257,6.354426636946999,4.560417372954892,4.4376002099998
5.7395155994390334,3.9306637057240748,-0.6365946740512964,6.37611027349033,4.567258379775371,4.663779749999776
5.655050107063721,3.8890958811434806,-0.641402134832788,6.2964522418965085,4.530498015976269,4.9195402899995315
5.644786481493848,3.8913367304194537,-0.6464239499817735,6.291210431475622,4.537760680401227,5.142243499999495
5.652614646585681,3.8931911777434953,-0.6441901518363107,6.2968047984219915,4.537381329579806,5.372746184999414
5.653336682349871,3.8898700952734417,-0.6573038443581912,6.310640526708062,4.547173939631633,5.597546341999987
5.651736075724177,3.889922273639214,-0.6593402108493833,6.31107628657356,4.549262484488597,5.8501938190001965
5.569604507547565,3.850672860770197,-0.6626655239977427,6.2322700315453075,4.51333838476794,6.097416658999464
5.5534588289065265,3.8507447823013963,-0.6618715667023541,6.215330395608881,4.512616349003751,6.322291485999813
5.565756000515387,3.8677774931605504,-0.6572276921486868,6.222983692664074,4.5250051853092375,6.5473615909995715
5.557819248013706,3.861738904992071,-0.6660951938776452,6.223914441891351,4.527834098869716,6.800514947000011
5.5705592306185725,3.8639797542680427,-0.6683134795359867,6.238872710154559,4.53229323380403,7.045084915000189
5.49022147004362,3.8289342254088914,-0.6580315210267889,6.148252991070409,4.48696574643568,7.295786724000209
5.477059829834274,3.831311866616752,-0.6659654530762674,6.143025282910541,4.497277319693019,7.543022951999774
5.4713977720350115,3.833267850220133,-0.6694529422263491,6.140850714261361,4.502720792446482,7.7953082069998345
5.485456316045187,3.843830443723616,-0.6717812255206415,6.157237541565828,4.515611669244258,8.048985481999807
5.501358025570591,3.8455706627334023,-0.6778014807497958,6.179159506320387,4.523372143483198,8.305844761000117
5.425970158613424,3.8096225891690123,-0.6751333329649376,6.101103491578362,4.4847559221339495,8.530215036999834
5.403577178340821,3.7951748227547037,-0.6875940908016228,6.091171269142444,4.482768913556327,8.761084278999988
5.4142187445060115,3.813957624206357,-0.6773699515626043,6.091588696068616,4.4913275757689615,9.005201932999626
5.415242568656015,3.8171912726580906,-0.6826681710275687,6.097910739683583,4.49985944368566,9.257890506999502
