v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s
-1.7519901637128203,-1.5678315575135162,-4.097992666930757,2.346002503217937,2.530161109417241,0.5326944969997385
-1.7085540715923841,-1.5366204334255218,-4.108892022427382,2.400337950834998,2.57227158900186,0.7853117229997224
-1.6557044381963208,-1.4993667725359625,-4.111330021312405,2.455625583116084,2.6119632487764424,1.0336035239997727
-1.6043586699153594,-1.5434335177691834,-4.126991428310038,2.5226327583946793,2.583557910540855,1.2627751780000835
-1.7863827578867768,-1.5818988449255245,-4.093126822788646,2.306744064901869,2.5112279778631215,1.511159633999796
-1.7673447055106732,-1.5600132640043964,-4.09570471610298,2.3283600105923066,2.5356914520985834,1.7614144760000272
-1.7177261821593601,-1.5327902593326703,-4.1008142473155065,2.383088065156146,2.568023987982836,2.018822995999926
-1.6411610584522998,-1.4602482286492062,-4.06034639909442,2.41918534064212,2.6000981704452135,2.2705080030000317
-1.8760359080006623,-1.6404435354116362,-4.116798314045262,2.2407624060446,2.4763547786336257,2.5274128089999977
-1.7936200382419,-1.6013712469410235,-4.1148634838334095,2.3212434455915094,2.513492236892386,2.7773841809998885
-1.7435355761865083,-1.5567088222023455,-4.12111473409806,2.3775791579115517,2.5644059118957143,3.0315305780000017
-1.702516047514345,-1.5125427970515486,-4.1140038100016705,2.4114877624873254,2.601461012950122,3.2788878139999724
-1.7880953364649648,-1.6539388351166997,-4.1147314866702684,2.326636150205304,2.460792651553569,3.5118036849999044
-1.822969663875342,-1.6118734827673427,-4.104467297009955,2.281497633134613,2.4925938142426123,3.7576633159997073
-1.7887620913659594,-1.586422850260527,-4.11103443792144,2.32227234655548,2.5246115876609125,4.01258119699969
-1.7549459976224728,-1.5616953816987824,-4.102020272677879,2.347074275055406,2.5403248909790968,4.23653504899994
-1.696817605881652,-1.5127007423749648,-4.104181867246924,2.407364261365272,2.591481124871959,4.46819909199985
-1.8854291420204214,-1.6662653394284814,-4.100263695045311,2.2148345530248896,2.4339983556168296,4.690776667999671
-1.8465215679585145,-1.620976774300545,-4.100205029639471,2.2536834616809567,2.479228255338926,4.947021034000045
-1.7997753931316196,-1.5822463246370404,-4.102577594033364,2.3028022009017444,2.5203312693963236,5.200475392000044
-1.7457479388952215,-1.5576858268457654,-4.109663698150359,2.3639157592551374,2.5519778713045937,5.4321443109997745
-1.6937636202353048,-1.5166538881839058,-4.122159429594373,2.4283958093590687,2.6055055414104675,5.659232577999774
-1.8663200142487808,-1.6310672241051,-4.092118229080543,2.2257982148317623,2.461051004975443,5.891100715999983
-1.8486572143672828,-1.6096543509733403,-4.090071708961417,2.241414494594134,2.4804173579880766,6.142502204999801
-1.7707721190288124,-1.5746773591027428,-4.099572120164924,2.328800001136111,2.524894761062181,6.397563734999949
-1.722745458901362,-1.5391656094942916,-4.113962067309053,2.3912166084076913,2.5747964578147617,6.64370023299989
-1.898087331511377,-1.6800799143230223,-4.091360091528144,2.193272760016767,2.4112801772051218,6.876782776999789
-1.848651573462875,-1.6367814602701352,-4.094080135633552,2.2454285621706775,2.4572986753634174,7.105391509999663
-1.8207279684637083,-1.5962628439093791,-4.0982262003732375,2.2774982319095294,2.5019633564638584,7.364578536999943
-1.763327253391485,-1.567062138152301,-4.103884027494195,2.3405567741027102,2.536821889341894,7.615822222999668
-1.6870960712253629,-1.5056349455138371,-4.149195156239763,2.4620990850144002,2.643560210725926,7.87080879999985
-1.9140172455588194,-1.6661694440535495,-4.110886646225956,2.1968694006671368,2.4447172021724066,8.121838452999782
-1.8859503615876962,-1.6433779338845396,-4.099402893032691,2.213452531444995,2.4560249591481513,8.38243604399986
-1.8148817351355324,-1.6009109491413522,-4.117569989768241,2.3026882546327085,2.516659040626889,8.614692212999671
-1.754924562185724,-1.5435824376455474,-4.129937108591756,2.3750125464060323,2.586354670946209,8.848899312999947
-1.6943310952187227,-1.6183266774097915,-4.178077714988245,2.483746619769522,2.559751037578453,9.104810416999953
-1.8940585975833732,-1.6478128129299003,-4.109761849887054,2.2157032523036806,2.4619490369571535,9.354101828999774
-1.8663030915355574,-1.624866741980118,-4.109035301399338,2.2427322098637807,2.4841685594192198,9.602410327999678
