t_s,R_raw,R,spo2,bpm,spo2_note,bpm_note
0.5303828690002774,,,,,venter på mere data,venter på flere pulsslag
0.7898191450003651,,,,,venter på mere data,venter på flere pulsslag
1.0369813679999424,,,,,venter på mere data,venter på flere pulsslag
1.2911083019998841,,,,,venter på mere data,venter på flere pulsslag
1.5393909640006314,,,,,venter på mere data,venter på flere pulsslag
1.7708648880006876,,,,,venter på mere data,venter på flere pulsslag
2.0221597569998266,,,,,venter på mere data,venter på flere pulsslag
2.272776636999879,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.52964397300002,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.755889082000067,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.9865498220005975,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.2377471139998306,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.494607755999823,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.7227505330001804,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.9776568810002573,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.2049948280000535,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.437279019000016,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.663049949000197,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.894829571000628,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.120865264000713,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.3777078670000265,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.603386327000408,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.86100055299994,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.110711852999884,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.370273561999966,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.6156922099999065,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.852322114000344,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.102065398000377,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.331571488000009,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.581572374000643,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.817054334000204,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.068152866000673,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.302623487000346,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.549761283000407,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.782163996000236,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.007859703000577,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.239179690000128,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.466625386000487,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.720021885000278,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.965705485999933,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.222060512000098,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.450755199000014,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.68009790799988,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.927025609999873,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.181874648000303,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.406206784999995,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.661244402000193,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.909319195000535,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
12.158607860999837,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
12.40771007300009,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
12.640378304000478,1.9120996492431266,1.9120996492431266,90.81608172332344,,ok,venter på flere pulsslag
12.870728761000464,1.9598994768280995,1.9598994768280995,89.62730001128517,,ok,venter på flere pulsslag
13.128466197999842,2.0832406609362706,1.9598994768280995,89.62730001128517,,ok,venter på flere pulsslag
13.387317163000262,2.1176064771387435,2.021570068882185,88.09355238690006,,ok,venter på flere pulsslag
13.624640869000359,2.155786284496315,2.0832406609362706,86.55980476251494,,ok,venter på flere pulsslag
13.875335495999934,2.15001030293144,2.100423569037507,86.1324658380372,,ok,venter på flere pulsslag
14.111080981000669,2.1977173306449775,2.1176064771387435,85.70512691355945,,ok,venter på flere pulsslag
14.340227874999982,2.1983706278283206,2.1338083900350915,85.30218533982728,,ok,venter på flere pulsslag
14.595290874000057,2.1568366322624395,2.15001030293144,84.89924376609508,,ok,venter på flere pulsslag
14.82694748799986,2.1458691909534053,2.1479397469424226,84.95073849354196,,ok,venter på flere pulsslag
15.061712596000689,2.173430002551167,2.15001030293144,84.89924376609508,,ok,venter på flere pulsslag
15.311450105999938,2.1337984628650557,2.1479397469424226,84.95073849354196,,ok,venter på flere pulsslag
15.545115377000002,2.105459072431589,2.1458691909534053,85.00223322098881,50.91406277838994,ok,ok
15.774315698999999,2.095820216753499,2.1398338269092303,85.15233272476745,60.4938489768783,ok,ok
16.03275204000056,2.080766402617219,2.1337984628650557,85.30243222854607,61.06156862078221,ok,ok
16.263498095000614,2.0908975701930896,2.1257024700018996,85.50377957105276,61.24486321212841,ok,ok
16.500171053000486,2.0884467717030883,2.1176064771387435,85.70512691355945,61.06156862078221,ok,ok
16.733846924999852,2.0868036678743,2.111532774785166,85.85617989109292,61.06156862078221,ok,ok
16.972008026000367,2.1441094567246033,2.1176064771387435,85.70512691355945,61.24486321212841,ok,ok
17.22343535300024,2.089815706531801,2.111532774785166,85.85617989109292,61.24486321212841,ok,ok
17.478417704000094,2.0843722651051113,2.105459072431589,86.00723286862639,61.24486321212841,ok,ok
17.72919015700063,2.083150309783258,2.100639644592544,86.12709203898343,61.24486321212841,ok,ok
17.983001983000577,2.084867054061735,2.095820216753499,86.24695120934048,61.06156862078221,ok,ok
18.23429384100018,2.085314699985395,2.0933588934732943,86.30816431931918,61.06156862078221,ok,ok
18.47017254900038,2.0896397515229337,2.0908975701930896,86.36937742929786,61.06156862078221,ok,ok
18.719829114000277,2.089009957200007,2.0903566383624455,86.382830403926,61.06156862078221,ok,ok
18.995709894000356,1.9918728890347106,2.089815706531801,86.39628337855412,61.24486321212841,ok,ok
19.245287650000137,1.9385316116195024,2.0897277290273673,86.39847137908939,61.06156862078221,ok,ok
19.49667768100062,1.9280613425260882,2.0896397515229337,86.40065937962464,61.06156862078221,ok,ok
19.727987078000297,1.9426264787441083,2.0893248543614704,86.40849087203023,61.06156862078221,ok,ok
19.96268318300008,1.98226801496822,2.089009957200007,86.41632236443581,61.24486321212841,ok,ok
20.210562019999998,2.058706117709544,2.0887283644515477,86.42332557609001,61.06156862078221,ok,ok
20.467728086000534,2.01480319340443,2.0884467717030883,86.4303287877442,60.14064810709939,ok,ok
20.697887985000307,1.9823273084982553,2.0884467717030883,86.4303287877442,60.14064810709939,ok,ok
20.933841986000516,1.9802557651564685,2.0884467717030883,86.4303287877442,60.14064810709939,ok,ok
21.184355439000683,1.846528927697018,2.0884467717030883,86.4303287877442,60.14064810709939,ok,ok
21.42211114100064,1.856184866675203,2.0868036678743,86.47119277996616,61.06156862078221,ok,ok
21.670895025999926,1.833077927892784,2.085314699985395,86.50822341136323,60.14064810709939,ok,ok
21.928855430000112,1.821774449939727,2.084867054061735,86.51935636548464,60.14064810709939,ok,ok
22.17405210600009,1.8012737627436952,2.0843722651051113,86.53166176683588,61.06156862078221,ok,ok
22.431193449000602,1.8085274728927976,2.083150309783258,86.56205179569038,61.06156862078221,ok,ok
22.662302830000044,1.8072339626047127,2.080766402617219,86.62133956690977,61.06156862078221,ok,ok
22.897653005000393,1.80536022115094,2.058706117709544,87.16997885256364,60.842317778962226,ok,ok
23.128074283999922,1.7949399633645702,2.01480319340443,88.26184458003183,60.842317778962226,ok,ok
23.364882460000445,1.8228206413454229,1.9918728890347106,88.83212124970674,60.842317778962226,ok,ok
23.597121933999915,1.7679830734449598,1.9823273084982553,89.06951983764839,60.842317778962226,ok,ok
23.8534936140004,1.760865054837834,1.98226801496822,89.07099446774038,60.842317778962226,ok,ok
24.10627028500039,1.7523752527818297,1.9802557651564685,89.12103912055863,60.842317778962226,ok,ok
24.341644097000426,1.7483407703063425,1.9426264787441083,90.05687947363403,60.62463581079832,ok,ok
24.599213712000164,1.7337460942941982,1.9385316116195024,90.15871881902298,60.62463581079832,ok,ok
24.845373338000172,1.7259903676411765,1.9280613425260882,90.4191144113762,60.62463581079832,ok,ok
25.077057940000486,1.730734375321542,1.856184866675203,92.20668236578771,60.62463581079832,ok,ok
25.31508143500014,1.7098723715047932,1.846528927697018,92.44682556817517,60.842317778962226,ok,ok
25.566491324000708,1.7275601873926822,1.833077927892784,92.78135193330647,61.06156862078221,ok,ok
25.821709071999976,1.7185195116913103,1.8228206413454229,93.03645064973934,60.4938489768783,ok,ok
26.054428671000096,1.721487066495713,1.821774449939727,93.062469429999,60.4938489768783,ok,ok
26.292910092000056,1.7173608753606835,1.8085274728927976,93.39192174915613,60.4938489768783,ok,ok
26.545523589999902,1.7095549214406691,1.8072339626047127,93.4240913500208,60.44939927125294,ok,ok
26.80707374800022,1.7342095137395208,1.80536022115094,93.47069129997612,60.44939927125294,ok,ok
27.039994659000513,1.7360575255806632,1.8012737627436952,93.5723215205643,60.44939927125294,ok,ok
27.27695683999991,1.7041527171555588,1.7949399633645702,93.72984311112315,61.06156862078221,ok,ok
27.533621684000536,1.7045854811256567,1.7679830734449598,94.40026096342385,60.842317778962226,ok,ok
27.78606165400015,1.7176411937921188,1.760865054837834,94.57728608618308,60.842317778962226,ok,ok
28.04088157500064,1.7047616585841903,1.7523752527818297,94.7884274633159,60.842317778962226,ok,ok
28.27477735499997,1.7311116719842572,1.7483407703063425,94.88876504248127,60.842317778962226,ok,ok
28.528254165999897,1.7076666406166772,1.7360575255806632,95.1942493388089,60.842317778962226,ok,ok
28.765611740000168,1.729636523681791,1.7342095137395208,95.24020939329813,60.37495445861994,ok,ok
29.020681531000264,1.730177788133399,1.7337460942941982,95.2517346349033,60.30069278141767,ok,ok
29.276456520000465,1.767032892002334,1.7337460942941982,95.2517346349033,60.30069278141767,ok,ok
29.52835447400048,1.7749457347115951,1.7337460942941982,95.2517346349033,60.30069278141767,ok,ok
29.786805820000154,1.7694636254138254,1.7337460942941982,95.2517346349033,60.30069278141767,ok,ok
30.018689538000217,1.7421824370207897,1.7337460942941982,95.2517346349033,59.51768286329678,ok,ok
30.25628089300062,1.7912812048358098,1.7337460942941982,95.2517346349033,59.51768286329678,ok,ok
30.486478704000547,1.7720139089168245,1.7337460942941982,95.2517346349033,59.51768286329678,ok,ok
30.720485566000207,1.791815713603835,1.7337460942941982,95.2517346349033,59.24709321246042,ok,ok
30.974878807000096,1.7830110155308991,1.7337460942941982,95.2517346349033,60.31223869128909,ok,ok
31.212471155999992,1.7566255949080583,1.7337460942941982,95.2517346349033,58.754747187724384,ok,ok
31.46653281900035,1.7918763586268385,1.7337460942941982,95.2517346349033,58.754747187724384,ok,ok
31.704289018000054,1.7964823281854159,1.7337460942941982,95.2517346349033,60.30069278141767,ok,ok
31.937864657999853,1.7879748504420625,1.7337460942941982,95.2517346349033,58.754747187724384,ok,ok
32.176702757000385,1.7945442884121576,1.7337460942941982,95.2517346349033,58.754747187724384,ok,ok
32.42949685900021,1.791094643357975,1.7337460942941982,95.2517346349033,60.30069278141767,ok,ok
32.68813126800069,1.7888112077177494,1.7342095137395208,95.24020939329813,60.30069278141767,ok,ok
32.920112241000425,1.8284860404386716,1.7360575255806632,95.1942493388089,58.754747187724384,ok,ok
