t_s,R_raw,R,spo2,bpm,spo2_note,bpm_note
0.5322767259995089,,,,,venter på mere data,venter på flere pulsslag
0.7843616840000323,,,,,venter på mere data,venter på flere pulsslag
1.0311969509994015,,,,,venter på mere data,venter på flere pulsslag
1.290445183999509,,,,,venter på mere data,venter på flere pulsslag
1.5396358879997933,,,,,venter på mere data,venter på flere pulsslag
1.7902722139997422,,,,,venter på mere data,venter på flere pulsslag
2.0263937499994427,,,,,venter på mere data,venter på flere pulsslag
2.252993989999595,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.506699810999635,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.7562225960000433,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.9927865119998387,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.2222057339995445,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.4564533539996773,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.7090830919996733,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.9653682299995126,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.216809996999473,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.473814275999757,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.720334152999385,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.954645505999906,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.205002244999378,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.461181857000156,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.691975005000131,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.950204502999441,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.200649460999557,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.431816027999957,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.685579463000067,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.923027359000116,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.154065286999867,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.389126237999335,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.6164752129998305,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.851028243999281,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.082064083999285,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.336827176999577,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.565051943000071,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.827131668999755,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.057937188999858,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.312473465999574,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.559162548000131,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.81382196999948,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.03922431799947,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.272241685000154,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.522918891999325,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
10.780051359999561,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.005401620000157,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.24012258699986,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.469066745999953,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.726910489000147,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
11.955457858000045,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
12.211719547999564,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
12.440124844999445,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
12.697590242999468,1.464216657583999,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
12.926179731999582,1.4352215198947014,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
13.161136828999588,1.4328527261895272,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
13.392459419999796,1.4361000931950545,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
13.629387136999867,1.462530333963516,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
13.880237637999926,1.4426659069308125,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
14.116026138999587,1.4522417642865195,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
14.367686015999425,1.4574824715741297,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
14.630190652999772,1.4092676068997334,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
14.884593130999747,1.3779195755171343,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
15.140014300000075,1.3586275294372498,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
15.391282287999275,1.3464606176674192,,,,SpO2 uden for gyldigt område,venter på flere pulsslag
15.623365083999488,1.3538384471855354,,,49.89545662765599,SpO2 uden for gyldigt område,ok
15.88042170999961,1.362460705179102,,,49.81666996347496,SpO2 uden for gyldigt område,ok
16.11788981999962,1.3661243976892432,,,49.81666996347496,SpO2 uden for gyldigt område,ok
16.379257638000126,1.3673373560560624,,,49.81666996347496,SpO2 uden for gyldigt område,ok
16.617564344999664,1.388681439906721,,,49.81666996347496,SpO2 uden for gyldigt område,ok
