v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s
2.846700745648549,3.1698681591676507,0.03204400696986929,2.81465673867868,3.1378241521977817,0.5542634270095732
2.88233659515397,3.190915501693789,0.03210380055659126,2.8502327945973787,3.1588117011371977,0.703124221006874
2.69107721848621,3.042041880745746,0.03134227846154713,2.659734940024663,3.0106996022841988,0.985604036017321
2.731528143994073,3.078389612387423,0.031414482037966124,2.700113661956107,3.0469751303494568,1.234539452008903
2.804102891923102,3.1245773376779518,0.031944727052293155,2.7721581648708087,3.0926326106256585,1.4933193490142003
2.8651419903383144,3.161053681940125,0.03186913893322952,2.8332728514050847,3.1291845430068954,1.711352947022533
2.93088785939134,3.2016557836861157,0.032196311388878116,2.898691548002462,3.1694594722972376,1.942395899008261
2.8414862936140395,3.097546123756089,0.032556201090091566,2.8089300925239478,3.064989922665997,2.157126000005519
2.813807503866168,3.104280235438042,0.03220872137857513,2.7815987824875927,3.0720715140594668,2.3972083250118885
2.8446045855706346,3.12715748735405,0.031685245449537366,2.812919340121097,3.0954722419045124,2.61116435599979
2.9011140377464364,3.1607095867712536,0.03175067994066709,2.8693633578057693,3.1289589068305865,2.8542652140022255
2.9625322049378484,3.1976428442904536,0.03281568269284734,2.929716522245001,3.1648271615976062,3.090037432004465
3.0185125402802044,3.2227595352563316,0.031820627155322995,2.9866919131248815,3.1909389081010087,3.31142378601362
2.887778939726552,3.123646588450675,0.03224482316678463,2.8555341165597676,3.0914017652838908,3.551916677010013
2.9085250579573176,3.1417076361833596,0.03162770822457848,2.8768973497327393,3.110079927958781,3.7984177650068887
2.9576686171574993,3.1733328026548815,0.03256297017538086,2.9251056469821184,3.1407698324795006,4.039487162022851
3.0105001996594583,3.2085591225003016,0.03249640750336957,2.9780037921560885,3.176062714996932,4.28205585401156
3.0583734271870187,3.2353477775326316,0.03289578353543718,3.0254776436515813,3.2024519939971943,4.500463241012767
2.947436016561869,3.1397039869377323,0.03200339245813359,2.9154326241037354,3.107700594479599,4.720840996014886
2.9507551247153803,3.1459157508715294,0.03219518320799657,2.9185599415073837,3.113720567663533,4.95660314700217
