v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s
-2.3489422572039547,-1.9663806329949358,-4.302887237732893,1.9539449805289384,2.3365066047379575,0.6279020719998698
-1.8766654329325656,-1.626750804052302,-4.198136771062147,2.321471338129582,2.5713859670098453,0.787445870999818
-1.7997663676845672,-1.5532678705136278,-4.139137423680772,2.339371055996205,2.5858695531671443,1.0716325429998506
-1.6308720488125925,-1.4168538792213874,-4.234360402806854,2.603488353994262,2.817506523585467,1.319192165000004
-1.45145518685843,-1.2934139680669363,-4.410309236731141,2.958854049872711,3.116895268664205,1.5889361079998707
-2.0369788080194944,-1.7139727243664538,-4.1211429386201,2.0841641306006053,2.4071702142536457,1.841400412999974
-1.8307202665315687,-1.5858689134476878,-4.084172451131809,2.25345218460024,2.498303537684121,2.100303296999755
-1.7654031062135314,-1.5185390784369701,-4.11032706850871,2.3449239622951783,2.5917879900717393,2.349976212999991
-1.5678811974723044,-1.1294193387635194,-4.1082128575366905,2.5403316600643864,2.978793518773171,2.6049398099999053
-2.185747508145555,-2.012187033147502,-4.240567654017125,2.0548201458715702,2.2283806208696233,2.8546406400000706
-1.8486628552716906,-1.6162779009289023,-4.077810639140766,2.2291477838690748,2.4615327382118632,3.09271775399975
-1.790638256171972,-1.524829815032475,-4.085247607511922,2.2946093513399504,2.5604177924794476,3.3216770349999933
-1.7730499162286557,-1.5496193335427046,-4.117577887034411,2.344527970805755,2.5679585534917067,3.5551671009998245
-1.1274743549237327,-0.9748799934283469,-4.272970137116033,3.1454957821923006,3.2980901436876864,3.812624142000004
-2.02193677232583,-1.714004313431137,-4.111496992082874,2.089560219757044,2.397492678651737,4.065676865000114
-1.8648522509218879,-1.6282467719012328,-4.083667026096875,2.2188147751749874,2.4554202541956425,4.295837932999802
-1.8130992093426885,-1.5887299801632906,-3.9991730471543043,2.186073837811616,2.4104430669910135,4.531134665000081
-1.136455802921727,-1.0307937660986917,-4.162916092121136,3.0264602891994086,3.132122326022444,4.761030755999855
-1.2461544709389374,-1.0590851580652427,-4.3308379190732165,3.084683448134279,3.2717527610079737,5.017154732000108
-2.2007884156583377,-1.802167136600499,-4.142620118062108,1.94183170240377,2.340452981461609,5.249407118999898
-1.8288813316946477,-1.6130253554474026,-4.0821157773847485,2.253234445690101,2.469090421937346,5.506856247000087
-1.614348711621457,-1.379819085422848,-4.0862494321347365,2.4719007205132795,2.7064303467118886,5.75826927900016
-1.3230918943369079,-1.184371901322786,-4.134892079023511,2.811800184686603,2.9505201777007253,5.99641848300007
-1.195499149357483,-1.728709023041219,-4.5601350423432105,3.364635892985728,2.8314260193019916,6.249878673999774
