v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s
1.5389287229111572,1.325077589042011,-2.5133930810609333,4.052321803972091,3.8384706701029443,0.5768512770000598
1.4706979246252239,1.2679043753863282,-2.533477242336431,4.004175166961655,3.8013816177227593,0.8734419490001528
1.514062995005784,1.29007602429046,-2.508461278578997,4.02252427358478,3.798537302869457,1.1620191270003488
1.534785376254322,1.285798256081781,-2.531981661373058,4.06676703762738,3.817779917454839,1.4392252910001844
1.55349482300382,1.3178549722143658,-2.5159877558893817,4.069482578893202,3.8338427281037477,1.7312363219998588
1.510319524225863,1.2729005646620044,-2.51482653441631,4.025146058642173,3.7877270990783147,2.007205597000393
1.542845021400592,1.3019954882825329,-2.5134665045976545,4.056311525998247,3.8154619928801874,2.292032471999846
1.5978403799978296,1.3344916160425735,-2.487170712115522,4.085011092113351,3.8216623281580953,2.5637377680004647
1.6594223946354174,1.3555133394023606,-2.4755494606418256,4.134971855277243,3.831062800044186,2.8445211899997958
1.7287330837075923,1.422742188810264,-2.438686326836168,4.1674194105437605,3.8614285156464323,3.117106335000244
1.6955106277304457,1.3939748471228006,-2.443087220667964,4.13859784839841,3.8370620677907645,3.41975464799998
1.7436516167765181,1.4239813521915476,-2.4041388584194174,4.147790475195936,3.8281202106109653,3.6911807559999943
1.7755953736218388,1.4645088852760417,-2.3827556653403863,4.158351038962225,3.847264550616428,3.9922497659999863
1.847216080118558,1.5128983847540947,-2.3659077876449954,4.213123867763553,3.87880617239909,4.265113467000447
1.7929289762524638,1.4392975019516419,-2.40524924821322,4.198178224465684,3.844546750164862,4.540205469999819
1.7886568560081482,1.4483489296400878,-2.3906921848635387,4.179349040871687,3.8390411145036265,4.833832398000595
1.8603498564487158,1.5018080419305382,-2.355595734310686,4.215945590759402,3.8574037762412243,5.132904592000159
1.960440821707395,1.5878276687747692,-2.2986766790513466,4.259117500758742,3.886504347826116,5.427951174000555
1.8735367236438882,1.5047743528140844,-2.3326909796322117,4.2062277032761,3.837465332446296,5.703510471999834
1.9306636239917931,1.5374116796832047,-2.3421343760474627,4.272798000039256,3.8795460557306676,6.001413298999978
1.9480062633653992,1.5323025311202645,-2.329321404093134,4.2773276674585325,3.861623935213398,6.302362061000167
2.0073369994078205,1.5537885171507053,-2.359881409669473,4.367218409077294,3.9136699268201784,6.605631635000464
1.8994190851346353,1.4966040075662963,-2.3534517670384196,4.252870852173055,3.8500557746047157,6.907682527999896
1.9210982315462974,1.4954371381288616,-2.3413662528940695,4.2624644844403665,3.836803391022931,7.184446197999932
1.970556325881865,1.5396686062427347,-2.342292519049632,4.312848844931497,3.881961125292367,7.481878012000379
2.0371435665381106,1.5997765021815307,-2.2596820034950214,4.296825570033132,3.8594585056765522,7.7552947610001866
1.9395038178130555,1.5125052864344164,-2.3368444926249006,4.276348310437956,3.8493497790593167,8.056472999000107
1.9908686649176357,1.543598459846641,-2.3118793605467354,4.302748025464371,3.8554778203933764,8.330697154000518
2.02714779920814,1.5958647220635862,-2.279679186119326,4.306826985327466,3.8755439081829124,8.641549783999835
2.131822652343982,1.6798872287089943,-2.186578141556529,4.318400793900511,3.8664653702655234,8.941913735000526
2.099316358248088,1.6366057482010092,-2.221273586639595,4.320589944887683,3.8578793348406046,9.244928808000623
2.1372458277255157,1.6767221094798637,-2.1936832807254203,4.3309291084509365,3.870405390205284,9.54217792899999
2.1640928615294954,1.7126668842800667,-2.1156961887985157,4.279789050328011,3.8283630730785827,9.820137980000254
2.7004303350150978,2.16936241228035,-1.7531262460965114,4.453556581111609,3.922488658376861,10.114269528000477
2.5017778732472915,2.014480544734381,-1.8783630782929774,4.380140951540269,3.8928436230273586,10.397654997000245
2.4750799457025,1.9916074186563408,-1.8647944087068535,4.339874354409353,3.8564018273631944,10.674537659000634
2.510377463786682,2.0195501575467785,-1.8350533579631765,4.345430821749859,3.8546035155099547,10.975544067000556
2.5861358689758727,2.0756299253017487,-1.8154119970937526,4.401547866069626,3.8910419223955013,11.25230356100019
2.596354166101753,2.0104366022503384,-1.845442223612825,4.441796389714578,3.8558788258631633,11.532025178999902
2.51325453683329,2.0144534345054375,-1.8133708227728962,4.3266253596061865,3.8278242572783334,11.831948583000667
2.575338090706329,2.0641826311304388,-1.7801506259814952,4.355488716687824,3.844333257111934,12.136330160999933
2.601223840975694,2.0394976380846876,-1.8220528735919894,4.423276714567684,3.8615505116766773,12.4336297130003
2.608671246784994,2.024064010665839,-1.8422680676407133,4.450939314425707,3.8663320783065522,12.714202457999818
2.5162118109738554,1.977290958588531,-1.833105939850749,4.349317750824604,3.81039689843928,13.009936727999957
2.529988325648545,1.9946584490053352,-1.8291704382824796,4.359158763931024,3.8238288872878146,13.313825455999904
2.575686005311101,2.0437562032145316,-1.8125902740979039,4.388276279409005,3.856346477312435,13.6098014650006
2.567107877036291,1.9186639589057628,-1.8930308417441777,4.460138718780469,3.8116948006499403,13.894323621000694
2.431809761123241,1.9036753910787338,-1.8951262365229204,4.326935997646162,3.7988016276016543,14.186974412000382
2.4657065840453525,1.9109612651072467,-1.9101035084212232,4.375810092466576,3.82106477352847,14.4940506060002
2.4941734540286946,1.9241210220734757,-1.9000388359260219,4.394212289954717,3.8241598579994975,14.792010524000034
2.5359808158378874,1.887457826206275,-1.909205482087476,4.445186297925363,3.796663308293751,15.09813710600065
2.436128194675335,1.8627525004888161,-1.9213791044758923,4.357507299151227,3.7841316049647085,15.374088851000124
2.4752030713256175,1.901677141287038,-1.9041200549748616,4.379323126300479,3.8057971962618993,15.657651952999913
2.5007985162267143,1.9524478225406106,-1.8498995970882535,4.350698113314968,3.8023474196288642,15.957565450999937
2.564815933097709,1.9596026637958979,-1.898562458041484,4.463378391139193,3.8581651218373816,16.239841311999953
2.4715962812832855,1.8793755892025523,-1.9215609689283875,4.393157250211673,3.80093655813094,16.51676881900039
2.4647622444038273,1.8704167881296627,-1.9148613536007728,4.3796235980046,3.7852781417304353,16.7962611009998
2.5073670987811023,1.8979483552144607,-1.8903107821068657,4.397677880887968,3.7882591373213264,17.070591906000118
2.5876291907534994,1.9748849257698124,-1.8868982820386275,4.474527472792127,3.8617832078084398,17.35339192399988
2.485699248298167,1.8980861655449226,-1.8928817354849892,4.378580983783156,3.7909679010299118,17.652023745000406
2.497539640789155,1.9061661433629,-1.8805748211376017,4.3781144619267565,3.7867409645005017,17.936289788000067
2.524759440241105,1.9016455126866036,-1.8741022539773882,4.398861694218493,3.775747766663992,18.23883572700015
2.5980270931461296,1.9914142582751195,-1.8329997581207214,4.431026851266851,3.824414016395841,18.53936587299995
2.532411302360352,1.9145612775923433,-1.8477827400449303,4.380194042405282,3.7623440176372736,18.833945164000397
2.569606536470565,1.9421301212419382,-1.842001483722771,4.411608020193336,3.784131604964709,19.132694401000663
2.5802608564452845,1.9592976737202854,-1.8266232063546815,4.406884062799966,3.7859208800749666,19.404778087000523
2.61361999316002,1.956514356882106,-1.8531415286327237,4.466761521792744,3.8096558855148297,19.679616331000034
2.516564243950118,1.8849930545581797,-1.8790351860521968,4.395599430002315,3.7640282406103767,19.954200545000276
2.5426431546007042,1.9129256271127641,-1.859662668286461,4.402305822887165,3.772588295399225,20.258116125000015
2.5822647542013435,1.9313153990793046,-1.8483588324099756,4.430623586611319,3.77967423148928,20.551768016000096
2.6198067733234565,1.9690268571323135,-1.8123474116302867,4.432154184953744,3.7813742687626,20.855842542000573
2.537744110312075,1.9226627176749005,-1.8200478462430574,4.357791956555133,3.742710563917958,21.128330145999826
2.5716872465419645,1.9260334228068512,-1.83518777951502,4.4068750260569844,3.761221202321871,21.431972129000314
2.606161291421993,1.9566905733702376,-1.8477285195870436,4.453889811009036,3.804419092957281,21.70641419599997
2.6160068228999034,1.9459899400877412,-1.8377632512646342,4.453770074164538,3.7837531913523756,22.00864828200065
2.6132912816340825,1.9127686137034672,-1.876121966033664,4.489413247667747,3.7888905797371315,22.28284316600002
2.583956884324554,1.9305314616256946,-1.8620506276192168,4.446007511943771,3.7925820892449114,22.582037635000233
2.585306747807357,1.9160410442554985,-1.8477047981367183,4.433011545944075,3.7637458423922165,22.85855175800043
2.6446950930862823,1.9530837833279058,-1.8084661305199037,4.453161223606186,3.7615499138478095,23.138191535999795
2.6431452916650233,1.9068100113003035,-1.853431834000991,4.496577125666015,3.7602418453012945,23.41179108400047
2.5403263596189243,1.8714899013586686,-1.8848243495244648,4.425150709143389,3.7563142508831335,23.71257911000066
2.568531164055815,1.90848745671617,-1.8684610671714355,4.436992231227251,3.7769485238876053,23.987041735000275
2.5910258765215213,1.9246519307236154,-1.8562061140961892,4.447231990617711,3.7808580448198046,24.268323254999814
2.676981116572012,1.9815145063393231,-1.848758708286889,4.525739824858901,3.830273214626212,24.57323584599999
2.580341057539241,1.9192027747060114,-1.8508563622513772,4.431197419790618,3.7700591369573884,24.854040395000084
2.5891564003173064,1.9120264711861443,-1.8465345399206659,4.435690940237972,3.75856101110681,25.12634291700033
2.6272519199470112,1.95995057840067,-1.8218755275109855,4.449127447457997,3.7818261059116556,25.40378113600036
2.700931874250548,2.014838625675007,-1.7766872942339877,4.4776191684845355,3.791525919908995,25.704866803000186
2.5815372963913648,1.91305665988599,-1.8345698922136873,4.416107188605052,3.7476265520996774,25.985798274000445
2.5896748834458467,1.9110222631223694,-1.8537323057051132,4.44340718915096,3.764754568827483,26.25736307399984
2.6174425354410253,1.9447575542636935,-1.8350940233065913,4.4525365587476164,3.779851577570285,26.5602578070002
2.6583868882955235,1.9717864525201676,-1.8354622705830712,4.493849158878595,3.807248723103239,26.858652425999935
2.5288271041754733,1.8690511103466438,-1.893373108384587,4.42220021256006,3.7624242187312307,27.137345588000244
2.5240285936525084,1.870649484261426,-1.8904768322591439,4.414505425911653,3.7611263165205697,27.43572175600002
2.547698082705758,1.8775275752629172,-1.888683038777395,4.436381121483153,3.766210614040312,27.74211109600037
2.5657636615178525,1.9272522535164271,-1.877733895062918,4.443497556580771,3.8049861485793453,28.016682649999893
2.4832491613574157,1.8503190717396933,-1.8747370851718106,4.357986246529226,3.7250561569115037,28.31795931600027
2.4622025869544304,1.847249967904737,-1.8872202160073295,4.34942280296176,3.7344701839120664,28.593172024000523
2.4645001788573753,1.8582352585911381,-1.8590289666849111,4.323529145542286,3.7172642252760495,28.89833256900056
2.5177424093162797,1.8889375928694303,-1.893360682862988,4.4111030921792675,3.782298275732418,29.17359789800048
2.393409251417924,1.81027161562607,-1.909693466208456,4.30310271762638,3.719965081834526,29.47649133499999
2.349611546967143,1.7771350087072442,-1.9154656857876347,4.265077232754778,3.692600694494879,29.75333197100008
2.3900645269220435,1.8023588175532432,-1.921976659105518,4.312041186027562,3.7243354766587613,30.035130904000653
2.3705191814467943,1.7394382353615794,-1.9632994255723495,4.333818607019143,3.702737660933929,30.344136163999792
2.1975977157248012,1.705605799233209,-1.9842273927237073,4.181825108448509,3.6898331919569163,30.650627197000176
2.1603471315638285,1.6816109874326395,-1.9922542796766707,4.152601411240499,3.67386526710931,30.95082067200019
2.1668569752888396,1.684875510834562,-2.0027097913058047,4.169566766594644,3.687585302140367,31.251698691000456
2.2116521102461593,1.7018950866465943,-2.01458746036159,4.226239570607749,3.716482547008184,31.55064405900066
2.017083126712938,1.5683704315435851,-2.083156006916442,4.10023913362938,3.651526438460027,31.85647592800069
1.9654087711612553,1.542087064583052,-2.1122667448371875,4.077675515998443,3.6543538094202397,32.13217872600035
1.9587148037980044,1.5579759179295736,-2.1063657516705283,4.0650805554685325,3.664341669600102,32.41405466300057
2.0103857705710695,1.5588355381056507,-2.172587004236039,4.182972774807109,3.73142254234169,32.71227684800033
1.7668805646094392,1.3970620244437193,-2.2490310722989206,4.01591163690836,3.64609309674264,32.994080172000395
1.7181295954121427,1.377625119884243,-2.2395052156039674,3.95763481101611,3.6171303354882105,33.268659201000446
1.7438470363434844,1.3903714458590863,-2.2476066556865244,3.9914536920300088,3.6379781015456105,33.5745401410004
1.7773914262893329,1.432357283342156,-2.267660317954461,4.0450517442437945,3.7000176012966173,33.87569289900057
1.6423598942942255,1.3598735678907419,-2.2792747918709217,3.921634686165147,3.6391483597616636,34.18089447900002
1.5953530164922813,1.3243072067028725,-2.3247646264449133,3.9201176429371944,3.6490718331477856,34.453956841000036
1.5820848186102792,1.3372387859088284,-2.3077201995896837,3.889805018199963,3.644958985498512,34.733756852000624
1.6421780298417312,1.3749863909337614,-2.3087018157960055,3.9508798456377368,3.6836882067297667,35.031438877000255
1.551527072219685,1.3328943717206636,-2.3249238990399554,3.8764509712596404,3.657818270760619,35.33381100800034
1.5285793930120508,1.3314338081363433,-2.337350550231842,3.865929943243893,3.6687843583681854,35.633063533000495
