v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s,bpm,R,spo2
4.5495070210407444,3.873908310116097,0.0023457734440293708,4.547161247596715,3.8715625366720676,0.48830925099900924,,,
4.519906939251601,3.8253198159096353,0.027557231603957347,4.4923497076476435,3.797762584305678,0.6386419539921917,,,
4.575187802447397,3.8394570505363,0.041157452131004926,4.534030350316392,3.798299598405295,0.9629288260184694,,,
4.614651569683906,3.92608667588764,0.05283412425501508,4.561817445428891,3.873252551632625,1.2311496949987486,,,
4.574764734616816,3.838001697199104,0.0496142960190803,4.525150438597736,3.7883874011800236,1.605148967995774,,,
4.584735597247928,3.862923212872474,0.01812676761510704,4.566608829632821,3.844796445257367,1.85690052100108,,,
4.589855282088388,3.860187374234723,0.029106223954321227,4.560749058134067,3.8310811502804016,2.119974920991808,,,
4.575484514019244,3.811631597273828,0.043354020307376666,4.532130493711867,3.7682775769664514,2.344655954017071,,,
4.62886890515316,3.8770762420314804,0.05812190804682528,4.570746997106335,3.8189543339846552,2.571029108017683,,,
4.663587543601884,3.9692452355112153,0.05439665477595751,4.6091908888259265,3.9148485807352578,2.809873307996895,,,
4.626620440656237,3.8605777248197386,0.0650951940756665,4.561525246580571,3.795482530744072,3.0408019780006725,,,
4.605947654182773,3.88471966750396,0.06946351044901597,4.536484143733757,3.8152561570549444,3.265785010997206,,,
4.627385347293926,3.878921945953691,0.06882947279358667,4.55855587450034,3.8100924731601045,3.4967670500045642,,,
4.539994199847542,3.730236731212865,0.06853388940262137,4.471460310444921,3.6617028418102437,3.73643617000198,,,
4.530792756577646,3.712580700416656,0.06062646960385933,4.470166286973787,3.651954230812797,3.987510363018373,,,
4.603781546890202,3.8007288572345588,0.07953252481682188,4.524249022073381,3.721196332417737,4.211079457018059,,,
4.475465637965705,3.6979064516903764,0.05918691079900551,4.4162787271666994,3.638719540891371,4.439847164991079,,,
4.490054144944988,3.6790184473715186,0.0745211453409907,4.415532999603998,3.604497302030528,4.684726450010203,,,
4.5267459717555365,3.721231591416358,0.07252088063800802,4.454225091117529,3.64871071077835,4.941152835992398,,,
4.501375440091311,3.7868928469032674,0.06657423921137447,4.434801200879937,3.720318607691893,5.182348792004632,,,
4.479744828049412,3.6631065842181814,0.07393336310170465,4.405811464947708,3.589173221116477,5.430399519013008,,,
4.498812213128437,3.690048671850403,0.07301051114059938,4.4258017019878375,3.6170381607098037,5.6527190190099645,,,
4.545753563247839,3.7607235631749063,0.07559742990198628,4.470156133345853,3.68512613327292,5.88236733400845,,,
4.486667345938584,3.7606141296293965,0.07622131392948171,4.410446032009102,3.6843928156999146,6.107230774010532,,,
4.500081416620177,3.718408882850728,0.07672448260265174,4.423356934017526,3.641684400248076,6.356489205005346,,,
4.525287233875697,3.7401150830116894,0.07863562101599207,4.446651612859705,3.661479461995697,6.575723329005996,,,
4.555797757636251,3.806359608014359,0.07592460235763497,4.479873155278616,3.730435005656724,6.806379457004368,,,
4.500176183814227,3.761486213450832,0.08124171885236539,4.418934464961861,3.6802444945984663,7.03227148600854,,,
4.522822158649517,3.782295509810964,0.07716334496557348,4.445658813683944,3.7051321648453905,7.282828299998073,,,
4.5527539256178375,3.8137661155017146,0.0792369414258566,4.473516984191981,3.734529174075858,7.512668870011112,,,
4.583033172297674,3.8674145009619125,0.08191298647688583,4.501120185820788,3.7855015144850266,7.744926042010775,,,
4.5291309461391265,3.7892947440000806,0.0743914045396128,4.454739541599514,3.714903339460468,7.995992764015682,,,
4.539097296046712,3.825793651879885,0.07956185751974214,4.45953543852697,3.746231794360143,8.227907988009974,,,
4.559000663158962,3.8634207406412373,0.07829942311329116,4.48070124004567,3.7851213175279463,8.454623475990957,,,
4.4946052266211485,3.801237666812136,0.07651689732044697,4.418088329300701,3.724720769491689,8.706250729999738,,,
4.515404369353345,3.8152169561153837,0.08153391770068605,4.433870451652659,3.7336830384146977,8.945731309009716,,,
4.528688699233561,3.8361526087342486,0.08011240978993694,4.448576289443624,3.7560401989443117,9.19504484400386,,,
4.493329254044118,3.8527458931400407,0.08116951527594639,4.412159738768172,3.7715763778640943,9.41703330000746,,,
