v_660,v_940,v_dark,v_660_korr,v_940_korr,t_s,bpm,R,spo2
4.679017673518801,3.7872628902324146,0.04805853458342717,4.630959138935373,3.7392043556489876,0.5050909739802592,,,
4.704255079839004,3.839998577359442,0.04654338765950971,4.657711692179494,3.7934551896999325,0.6560726149764378,,,
4.559704648029047,3.6330665118852328,0.04299413060616325,4.516710517422884,3.5900723812790694,1.0018832229834516,,,
4.602546188824908,3.6872395014553505,0.04474168279167936,4.557804506033229,3.642497818663671,1.2691707499907352,,,
4.495669101192447,3.5633178570644795,0.04027747104339838,4.455391630149048,3.5230403860210813,1.6652598179935012,,,
4.54509809015566,3.619695312077139,0.042397322919824953,4.502700767235835,3.577297989157314,1.9111631119740196,,,
4.62078097641335,3.73490063097718,0.04506772706644639,4.5757132493469035,3.6898329039107334,2.1740959729941096,,,
4.531148133555333,3.6498752788393993,0.04291515794445497,4.488232975610878,3.606960120894944,2.3995998969767243,,,
4.573076976018022,3.696104746822546,0.04361914281454021,4.529457833203482,3.652485604008006,2.6607320199836977,,,
4.647165742690088,3.7944178133831854,0.04574802013801916,4.601417722552069,3.748669793245166,2.903385851997882,,,
4.713992409027635,3.9121389756490754,0.04649826042424783,4.667494148603387,3.8656407152248278,3.158256780996453,,,
4.636420947974235,3.8116304690929455,0.04680174108138394,4.589619206892851,3.7648287280115613,3.3822877059865277,,,
4.676156606803198,3.8707020200507407,0.04463112106528776,4.63152548573791,3.826070898985453,3.615729864977766,,,
4.733864187075202,3.9632309032316893,0.04626247062000454,4.687601716455197,3.916968432611685,3.8625126809929498,,,
4.784420228739081,4.0570447844367195,0.04626811152441228,4.738152117214669,4.010776672912307,4.121175303997006,,,
4.719867975058731,3.9652605006375916,0.045338490478017655,4.674529484580714,3.9199220101595738,4.364308380987495,,,
4.750953871068874,4.019701997257518,0.04548289763085565,4.705470973438018,3.974219099626662,4.612747184000909,,,
4.802344766585097,4.098812297033347,0.04596011814374998,4.7563846484413475,4.052852178889597,4.863937009999063,,,
4.826346814840007,4.180034551419434,0.04488608994451734,4.7814607248954895,4.135148461474916,5.115646684978856,,,
4.772303566071267,4.0754612091470905,0.045138802461983846,4.7271647636092835,4.030322406685107,5.336921607988188,,,
4.7968911402037,4.114595547566188,0.04612370437157427,4.750767435832126,4.068471843194614,5.569372844998725,,,
4.832257354478431,4.175950536628234,0.04719209166639916,4.785065262812032,4.128758444961835,5.795293627976207,,,
4.871740300789927,4.247223363819958,0.047348908808934186,4.824391391980993,4.199874455011024,6.046949461975601,,,
4.7705774493224995,4.115326608777431,0.045216646942810586,4.725360802379689,4.07010996183462,6.290347875998123,,,
4.780562978305071,4.126108633462374,0.04591724727025119,4.73464573103482,4.080191386192123,6.541589799977373,,,
4.812337064652958,4.172342614169047,0.046419287762539556,4.765917776890419,4.125923326406507,6.7687807329930365,,,
4.8470004222384855,4.233758524998695,0.045658893848376965,4.801341528390108,4.188099631150318,7.022539067984326,,,
4.754330516447343,4.1345790155210285,0.045039522544407726,4.709290993902935,4.089539492976621,7.247823046986014,,,
4.755053680392415,4.092732530262691,0.044895115391569734,4.710158565000845,4.047837414871122,7.496519915992394,,,
4.7773905336661615,4.104554737720421,0.043742114530628824,4.733648419135533,4.0608126231897925,7.7220726359810214,,,
4.805390854965274,4.1490930625621285,0.0450699834282095,4.760320871537064,4.104023079133919,7.958343630976742,,,
4.787175246451818,4.213280913817738,0.04388652168346682,4.743288724768351,4.169394392134271,8.208065447979607,,,
4.725410727729772,4.007325852986948,0.043518734716082544,4.681891993013689,3.963807118270866,8.44629967698711,,,
4.733229021238891,4.012851682944765,0.043374327563244545,4.689854693675647,3.9694773553815206,8.692567447986221,,,
4.771241947861731,4.062084368434589,0.044321999503743915,4.726919948357987,4.017762368930845,8.941823615983594,,,
4.804735381873095,4.119503134400917,0.045255005092783185,4.759480376780312,4.074248129308134,9.167719296994619,,,
4.685354665530449,3.943531736858999,0.042985105159110866,4.642369560371338,3.900546631699888,9.403244571993127,,,
4.687210523080593,3.93028802149052,0.04237363112131247,4.644836891959281,3.8879143903692075,9.651277297991328,,,
4.720305709240771,3.9651882970611725,0.0419821523554157,4.678323556885355,3.9232061447057567,9.88364335798542,,,
4.759129797917444,4.021297245024025,0.04292756793415197,4.716202229983292,3.978369677089873,10.127558925974881,,,
4.644138833384897,3.858504128359456,0.040351930981580464,4.603786902403317,3.8181521973778754,10.38196072599385,,,
4.649105085625466,3.8552335319838504,0.040474902697669075,4.608630182927797,3.8147586292861813,10.603050414996687,,,
4.6820569928136875,3.888316308154332,0.039768661465820726,4.642288331347867,3.848547646688511,10.831700301001547,,,
4.726334707871758,3.9559947510574474,0.04025039470224124,4.686084313169517,3.915744356355206,11.07763442597934,,,
4.616784959730912,3.8914808555270706,0.038025622003830806,4.578759337727081,3.8534552335232397,11.328227055986645,,,
4.599291386981646,3.7755726799378264,0.036362683384430716,4.5629287035972155,3.7392099965533956,11.551383897982305,,,
4.621915926380187,3.793880799283569,0.0375777341938567,4.584338192186331,3.7563030650897122,11.788116634998005,,,
4.669467622356506,3.865339776320748,0.03881534862091362,4.630652273735592,3.8265244276998347,12.012191422982141,62.51044256606102,0.5590881554741691,99.89547757335741
4.7239926043616665,3.9510194733698256,0.03902857480752598,4.68496402955414,3.9119908985622995,12.27321077499073,62.51044256606102,0.545594831697732,100.2310565356774
4.545479415293624,3.7217911691336054,0.0341841661021637,4.51129524919146,3.6876070030314416,12.524998957989737,62.41034519935678,0.5194828525349829,100.88046145745497
4.555536019671732,3.723337905122206,0.034757281989989515,4.520778737681742,3.6885806231322165,12.762014213978546,62.41034519935678,0.5565368706000251,99.95892802817737
4.601166423606777,3.7900878551598085,0.035701569387844245,4.565464854218933,3.754386285771964,13.010552337975241,62.41034519935678,0.5343002216106751,100.5119534885425
4.655790685529514,3.870944578940273,0.03805833924939567,4.617732346280118,3.8328862396908776,13.271617925987812,62.41034519935678,0.5301376849562259,100.61547577513866
4.521542801529843,3.7850031439266765,0.03361217839521943,4.487930623134623,3.7513909655314572,13.523017695988528,62.310567890036864,0.5532725180519114,100.04011247604896
4.511700551519229,3.689765498449134,0.03371597103632175,4.477984580482907,3.656049527412812,13.779629853001097,62.310567890036864,0.5470458058480911,100.19497080855797
